DRAGON data 
 22 	 2 	 110 	 0 	 0 
No.	MolID	ZM1	ZM1V	ZM2	ZM2V	Qindex	SNar	HNar	GNar	Xt	Dz	Ram	Pol	LPRS	VDA	MSD	SMTI	SMTIV	GMTI	GMTIV	Xu	SPI	W	WA	Har	Har2	QW	TI2	HyDp	RHyDp	w	ww	Rww	D/D	Wap	WhetZ	Whetm	Whetv	Whete	Whetp	J	JhetZ	Jhetm	Jhetv	Jhete	Jhetp	MAXDN	MAXDP	DELS	TIE	S0K	S1K	S2K	S3K	PHI	BLI	PW2	PW3	PW4	PJI2	CSI	ECC	AECC	DECC	MDDD	UNIP	CENT	VAR	BAC	Lop	ICR	D/Dr06	T(N..F)	T(N..Cl)	T(N..Br)	T(N..I)	T(F..Br)	T(Cl..Br)	T(Br..Br)	T(Br..I)	X0	X1	X2	X3	X4	X5	X0A	X2A	X4A	X5A	X0v	X1v	X2v	X3v	X4v	X5v	X0Av	X1Av	X2Av	X3Av	X4Av	X5Av	X0sol	X1sol	X2sol	X3sol	X4sol	X5sol	XMOD	RDCHI	RDSQ
 11	PHENET-11	60	109.067	65	108.778	7	7.860	1.660	1.831	0.357	26.250	4	15	47.608	39.692	0.299	1035	1355.438	911	1472.963	13.192	7.785	258	3.308	20.377	33.321	222.333	2.708	672	23.562	390	1382	13.661	56.366	599	206.343	206.096	244.383	214.800	251.324	2.321	2.905	2.909	2.516	2.804	2.459	0.901	0.929	4.055	16	44.106	10.741	4.775	3.490	3.946	1.238	0.571	0.291	0.152	0.750	142	74	5.692	0.947	6.331	28	152	24	20	1.662	1.950	44.165	0	0	3	0	0	0	0	0	9.845	6.092	5.639	3.625	2.934	1.978	0.757	0.332	0.140	0.090	10.005	5.363	4.749	2.747	2.155	1.086	0.770	0.413	0.279	0.153	0.103	0.049	10.845	6.670	6.380	4.332	3.708	2.328	45.706	2.435	70.185
 12	PHENET-12	66	164.672	73	142.889	8	8.266	1.615	1.805	0.348	30.083	5	18	53.057	45.143	0.292	1254	1985.042	1104	2484.193	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	240.722	239.821	313.690	255.842	327.919	2.378	3.107	3.117	2.504	2.951	2.419	2.042	4.867	14.531	28.303	51.303	11.955	5.102	3.524	4.357	1.186	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	7	6	3	0	6	5	0	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	10.440	5.535	4.916	2.939	2.186	1.122	0.746	0.395	0.259	0.140	0.095	0.043	11.345	6.958	6.789	4.594	3.961	2.630	52.212	2.493	79.521
 13	PHENET-13	66	164.134	73	140.815	8	8.266	1.615	1.805	0.348	29.500	5	18	53.057	45.143	0.292	1254	1957.542	1104	2411.966	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	238.362	237.371	310.087	256.672	324.924	2.378	3.133	3.144	2.529	2.943	2.439	1.890	4.952	12.554	26.755	51.303	12.149	5.242	3.637	4.549	1.275	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	7	0	9	0	9	0	5	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	11.270	5.950	5.363	3.257	2.394	1.381	0.805	0.425	0.282	0.155	0.104	0.053	11.845	7.247	7.197	4.856	4.215	2.932	57.408	2.493	79.521
 14	PHENET-14	66	165.067	73	143.778	8	8.266	1.615	1.805	0.348	29.750	5	18	53.057	45.143	0.292	1254	1996.993	1104	2515.148	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	249.133	248.417	313.690	258.569	330.423	2.378	3.022	3.030	2.504	2.926	2.403	1.807	4.999	11.925	26.385	51.303	11.671	4.899	3.360	4.084	1.172	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	7	0	3	0	6	0	0	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	10.306	5.468	4.844	2.887	2.153	1.080	0.736	0.391	0.255	0.137	0.094	0.042	10.845	6.670	6.380	4.332	3.708	2.328	49.037	2.493	79.521
 15	PHENET-15	66	116.277	73	118	8	8.266	1.615	1.805	0.348	28.917	5	18	53.057	45.143	0.292	1254	1575.759	1104	1651.107	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	236.643	236.008	294.967	257.177	297.560	2.378	3.148	3.155	2.625	2.939	2.607	1.069	1.817	9.142	22.460	51.303	12.304	5.354	3.729	4.705	1.267	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	13	3	0	0	11	0	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	11.195	5.913	5.323	3.388	2.304	1.258	0.800	0.422	0.280	0.161	0.100	0.048	12.715	7.658	7.618	5.908	4.202	2.958	54.521	2.493	79.521
 16	PHENET-16	66	115.739	73	115.926	8	8.266	1.615	1.805	0.348	28.333	5	18	53.057	45.143	0.292	1254	1548.258	1104	1588.558	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	234.284	233.558	291.364	258.007	294.565	2.378	3.174	3.183	2.652	2.931	2.629	0.994	1.807	7.392	21	51.303	12.498	5.495	3.845	4.906	1.356	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	7	9	0	0	9	5	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	12.026	6.328	5.770	3.863	2.511	1.517	0.859	0.452	0.304	0.184	0.109	0.058	13.215	7.946	7.988	6.394	4.437	3.249	59.718	2.493	79.521
 17	PHENET-17	66	116.672	73	118.889	8	8.266	1.615	1.805	0.348	28.583	5	18	53.057	45.143	0.292	1254	1587.709	1104	1677.914	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	245.055	244.604	294.967	259.904	300.064	2.378	3.062	3.066	2.625	2.914	2.589	0.964	1.854	6.562	20.617	51.303	12.020	5.148	3.562	4.420	1.253	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	7	3	0	0	6	0	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	11.062	5.846	5.251	3.311	2.270	1.216	0.790	0.418	0.276	0.158	0.099	0.047	12.215	7.369	7.247	5.423	3.968	2.667	51.346	2.493	79.521
 18	PHENET-18	66	115.739	73	115.926	8	8.266	1.615	1.805	0.348	28.333	5	18	53.057	45.143	0.292	1254	1545.147	1104	1581.683	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	234.284	233.558	291.364	258.007	294.565	2.378	3.173	3.181	2.651	2.932	2.628	1.011	1.902	7.413	21.144	51.303	12.498	5.495	3.845	4.906	1.356	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	6	10	0	0	8	6	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	12.026	6.328	5.770	3.882	2.433	1.407	0.859	0.452	0.304	0.185	0.106	0.054	13.215	7.946	7.988	6.421	4.354	3.152	59.718	2.493	79.521
 19	PHENET-19	66	115.202	73	113.852	8	8.266	1.615	1.805	0.348	27.750	5	18	53.057	45.143	0.292	1254	1517.646	1104	1519.941	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	231.924	231.108	287.760	258.836	291.571	2.378	3.200	3.209	2.679	2.924	2.651	0.957	0.917	5.985	19.739	51.303	12.692	5.638	3.961	5.111	1.445	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	0	16	0	0	0	14	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	12.856	6.743	6.217	4.529	2.640	1.666	0.918	0.482	0.327	0.216	0.115	0.064	13.715	8.235	8.359	6.990	4.588	3.444	64.914	2.493	79.521
 20	PHENET-20	66	116.134	73	116.815	8	8.266	1.615	1.805	0.348	28	5	18	53.057	45.143	0.292	1254	1557.097	1104	1608.144	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	242.695	242.154	291.364	260.734	297.070	2.378	3.085	3.091	2.651	2.907	2.610	0.927	0.938	5.247	19.368	51.303	12.214	5.288	3.675	4.614	1.342	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	0	10	0	0	0	6	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	11.892	6.261	5.698	3.777	2.399	1.365	0.849	0.447	0.300	0.180	0.104	0.052	12.715	7.658	7.618	5.851	4.119	2.861	56.542	2.493	79.521
 21	PHENET-21	66	117.067	73	119.778	8	8.266	1.615	1.805	0.348	28.250	5	18	53.057	45.143	0.292	1254	1600.993	1104	1707.815	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	253.467	253.199	294.967	262.631	302.568	2.378	2.983	2.986	2.625	2.891	2.571	0.906	0.954	4.574	19.049	49.303	11.736	4.945	3.397	4.145	1.238	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	0	3	0	0	0	0	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	10.928	5.780	5.179	3.236	2.249	1.192	0.781	0.413	0.273	0.154	0.098	0.046	11.715	7.080	6.876	4.994	3.816	2.472	48.171	2.493	79.521
 22	PHENET-22	66	116.134	73	116.815	8	8.266	1.615	1.805	0.348	28	5	18	53.057	45.143	0.292	1254	1561.542	1104	1617.966	14.153	9.221	316	3.473	22.421	37.498	268	2.731	864	26.082	464	1650	15.279	66.661	730	242.695	242.153	291.364	260.734	297.070	2.378	3.091	3.097	2.652	2.908	2.612	0.936	0.933	5.311	19.436	51.303	12.214	5.288	3.675	4.614	1.342	0.585	0.311	0.144	1	168	88	6.286	1.041	7.714	32	184	28	29	1.618	2.217	48.032	0	0	9	0	0	0	5	0	10.715	6.503	6.135	4.287	3.042	2.161	0.765	0.323	0.132	0.083	11.892	6.261	5.698	3.756	2.490	1.493	0.849	0.447	0.300	0.179	0.108	0.057	12.715	7.658	7.618	5.799	4.286	3.055	56.542	2.493	79.521
